Date,Value
2016-04-30,385500.0
2016-03-31,382000.0
2016-02-29,377500.0
2016-01-31,376500.0
2015-12-31,374700.0
2015-11-30,364900.0
2015-10-31,354200.0
2015-09-30,352000.0
2015-08-31,347000.0
2015-07-31,342600.0
2015-06-30,344200.0
2015-05-31,345500.0
2015-04-30,348500.0
2015-03-31,350800.0
2015-02-28,351000.0
2015-01-31,351000.0
2014-12-31,351600.0
2014-11-30,351900.0
2014-10-31,350200.0
2014-09-30,348000.0
2014-08-31,343700.0
2014-07-31,339200.0
2014-06-30,336300.0
2014-05-31,333400.0
2014-04-30,328700.0
2014-03-31,327800.0
2014-02-28,329100.0
2014-01-31,330400.0
2013-12-31,328700.0
2013-11-30,323900.0
2013-10-31,319000.0
2013-09-30,317600.0
2013-08-31,317200.0
2013-07-31,313200.0
2013-06-30,303800.0
2013-05-31,292800.0
2013-04-30,284700.0
2013-03-31,280200.0
2013-02-28,279900.0
2013-01-31,284400.0
2012-12-31,289700.0
2012-11-30,291700.0
2012-10-31,290800.0
2012-09-30,287700.0
2012-08-31,284100.0
2012-07-31,284000.0
2012-06-30,286000.0
2012-05-31,285900.0
2012-04-30,284600.0
2012-03-31,282700.0
2012-02-29,281500.0
2012-01-31,283200.0
2011-12-31,284900.0
2011-11-30,284300.0
2011-10-31,284600.0
2011-09-30,287900.0
2011-08-31,291000.0
2011-07-31,291600.0
2011-06-30,292700.0
2011-05-31,294900.0
2011-04-30,295600.0
2011-03-31,295300.0
2011-02-28,297300.0
2011-01-31,301000.0
2010-12-31,304100.0
2010-11-30,305500.0
2010-10-31,304600.0
2010-09-30,302200.0
2010-08-31,299900.0
2010-07-31,298200.0
2010-06-30,296900.0
2010-05-31,298100.0
2010-04-30,302300.0
2010-03-31,304700.0
2010-02-28,306000.0
2010-01-31,308700.0
2009-12-31,312200.0
2009-11-30,313900.0
2009-10-31,316600.0
2009-09-30,320600.0
2009-08-31,325700.0
2009-07-31,331200.0
2009-06-30,338300.0
2009-05-31,344900.0
2009-04-30,345200.0
2009-03-31,341500.0
2009-02-28,336700.0
2009-01-31,319800.0
2008-12-31,300000.0
2008-11-30,295400.0
2008-10-31,300200.0
2008-09-30,301100.0
2008-08-31,302000.0
2008-07-31,305100.0
2008-06-30,306700.0
2008-05-31,305900.0
2008-04-30,304800.0
2008-03-31,305800.0
2008-02-29,309400.0
2008-01-31,315100.0
2007-12-31,318000.0
2007-11-30,313500.0
2007-10-31,307600.0
2007-09-30,305200.0
2007-08-31,303000.0
2007-07-31,296900.0
2007-06-30,291600.0
2007-05-31,287100.0
2007-04-30,284300.0
2007-03-31,282500.0
2007-02-28,276300.0
2007-01-31,269800.0
2006-12-31,270300.0
2006-11-30,274000.0
2006-10-31,276300.0
2006-09-30,277200.0
2006-08-31,275200.0
2006-07-31,271200.0
2006-06-30,265700.0
2006-05-31,259700.0
2006-04-30,255200.0
2006-03-31,250900.0
2006-02-28,246400.0
2006-01-31,245100.0
2005-12-31,245300.0
2005-11-30,244100.0
2005-10-31,238000.0
2005-09-30,231000.0
2005-08-31,226800.0
2005-07-31,226400.0
2005-06-30,226200.0
2005-05-31,227000.0
2005-04-30,225900.0
2005-03-31,222500.0
2005-02-28,219700.0
2005-01-31,218600.0
2004-12-31,216100.0
2004-11-30,212300.0
2004-10-31,210000.0
2004-09-30,208400.0
2004-08-31,206700.0
2004-07-31,205300.0
2004-06-30,204300.0
2004-05-31,202600.0
2004-04-30,203000.0
2004-03-31,204900.0
2004-02-29,206300.0
2004-01-31,207200.0
2003-12-31,206600.0
2003-11-30,204700.0
2003-10-31,202800.0
2003-09-30,200300.0
2003-08-31,197000.0
2003-07-31,194700.0
2003-06-30,194700.0
2003-05-31,194200.0
2003-04-30,191900.0
2003-03-31,191900.0
2003-02-28,193400.0
2003-01-31,191700.0
2002-12-31,188900.0
2002-11-30,187600.0
2002-10-31,187400.0
2002-09-30,187600.0
2002-08-31,188900.0
2002-07-31,190900.0
2002-06-30,192000.0
2002-05-31,192300.0
2002-04-30,193500.0
2002-03-31,194000.0
2002-02-28,193300.0
2002-01-31,191700.0
2001-12-31,189300.0
2001-11-30,186900.0
2001-10-31,185800.0
2001-09-30,185600.0
2001-08-31,186900.0
2001-07-31,187400.0
2001-06-30,186400.0
2001-05-31,187100.0
2001-04-30,189200.0
2001-03-31,189900.0
2001-02-28,190200.0
2001-01-31,190900.0
2000-12-31,191000.0
2000-11-30,190300.0
2000-10-31,188800.0
2000-09-30,187900.0
2000-08-31,186800.0
2000-07-31,185300.0
2000-06-30,182900.0
2000-05-31,180300.0
2000-04-30,178000.0
2000-03-31,176900.0
2000-02-29,175700.0
2000-01-31,174400.0
1999-12-31,174900.0
1999-11-30,175800.0
1999-10-31,174900.0
1999-09-30,172500.0
1999-08-31,171100.0
1999-07-31,171000.0
1999-06-30,170700.0
1999-05-31,169600.0
1999-04-30,169000.0
1999-03-31,168200.0
1999-02-28,165700.0
1999-01-31,165100.0
1998-12-31,166500.0
1998-11-30,168300.0
1998-10-31,171700.0
1998-09-30,176400.0
1998-08-31,174100.0
1998-07-31,164900.0
1998-06-30,158300.0
1998-05-31,155900.0
1998-04-30,153400.0
1998-03-31,151200.0
1998-02-28,149500.0
1998-01-31,147100.0
1997-12-31,144700.0
1997-11-30,142200.0
1997-10-31,139400.0
1997-09-30,136600.0
1997-08-31,134600.0
1997-07-31,133800.0
1997-06-30,133000.0
1997-05-31,131500.0
1997-04-30,130400.0
1997-03-31,129200.0
1997-02-28,127500.0
